name;aliases;admin1;population;lat;lon
Lörrach;;BW;47002;47.61497;7.66457
Albstadt;Albshtat;BW;46950;48.21644;9.02596
Oberursel;;HE;46736;50.20731;8.57747
Gotha;;TH;46615;50.94823;10.70193
Melle;Mellea;NI;46436;52.20197;8.33826
Berlin-Staaken;Staaken;BE;46369;52.53661;13.15057
Bünde;;NW;46365;52.19837;8.58644
Alsdorf;alsdwrf;NW;46340;50.87673;6.16399
Böblingen;;BW;46282;48.68212;9.01171
Langenhorn;;HH;46272;53.66667;10.01667
Rheda-Wiedenbrück;;NW;46123;51.84967;8.30017
Kamen;Kameno;NW;45927;51.59231;7.6638
Gohlis;;SN;45924;51.366;12.367
Stade;Hansestadt Stade;NI;45634;53.59407;9.47302
Meiderich;Meiderich/Beeck;NW;45297;51.46667;6.76667
Wismar;Wismer;MV;45255;53.89218;11.45563
Amberg;Ambergas;BY;44737;49.44287;11.86267
Neustadt am Rübenberge;Neustadt am Rbge|Neustadt|Neustadt am Rubenberge;NI;44668;52.50462;9.45871
Erkelenz;Erkelenc|Erkelens;NW;44650;51.07947;6.31531
Homburg;;SL;44607;49.32637;7.33867
Straubing;;BY;44580;48.88126;12.57385
Halle-Neustadt;Halle Neustadt;ST;44515;51.47924;11.91605
Memmingen;;BY;44192;47.98372;10.18527
Brühl;;NW;44137;50.82928;6.90499
Fellbach;Fell'bakh;BW;43935;48.80912;9.27697
Lehrte;;NI;43920;52.37193;9.97919
Nordhausen;Nordkhauzen;TH;43912;51.5018;10.7957
Freiberg;Freiberga|Freiburg;SN;43670;50.91089;13.33881
Pirmasens;Pirmazens|Pirminisensna;RP;43582;49.20145;7.60529
Goslar;Goslaer|Goslaria|goslari;NI;43560;51.90425;10.42766
Berlin-Lankwitz;Lankwitz;BE;43558;52.43623;13.3459
Bietigheim-Bissingen;;BW;43556;48.94407;9.11755
Filderstadt;Fildershhat|Fildershtat;BW;43550;48.65698;9.22049
Suhl;;TH;43509;50.60911;10.69401
Weinheim;;BW;43325;49.54887;8.66697
Rodgau;;HE;43315;50.02627;8.88588
Bad Kreuznach;Bad Krojcnakh|Kreuznach|bad krwytsnakh;RP;43213;49.8414;7.86713
Ohligs;;NW;43063;51.15;7
Monheim am Rhein;Monheim;NW;43038;51.09162;6.89217
Gifhorn;;NI;43000;52.47774;10.5511
Berlin-Britz;Britz;BE;42846;52.44293;13.43388
Rottenburg;;BW;42721;48.47629;8.93528
Berlin-Rudow;Rudow;BE;42631;52.42407;13.48529
Freising;Freizingas;BY;42570;48.40351;11.74876
Weiden;;BY;42550;49.67682;12.15613
Kaufbeuren;Kaufbeiren|Kaufbojren|kaufuboiren;BY;42505;47.88238;10.62192
Nettetal;Nettetal';NW;42417;51.31667;6.28333
Kaarst;;NW;42112;51.22929;6.61883
Frankfurt-Gallus;Gallusviertel|Gallus;HE;42012;50.10038;8.6295
Eberswalde;Ebersval'de|Ebersvalde|Eberswalde-Finow|eberusuvuarude;BB;41980;52.83492;13.81951
Bautzen;Bautcen|bautsuen;SN;41972;51.18035;14.43494
Lemgo;Lemge;NW;41943;52.02786;8.89901
Coburg;Coburgo|Coburgum|Kreisfreie Stadt Coburg;BY;41901;50.25937;10.96384
Laatzen;;NI;41838;52.31506;9.79739
Mülheim;Muelheim am Rhein;NW;41711;50.96639;7.00384
Dreieich;;HE;41692;50.01997;8.69611
Schorndorf;;BW;41647;48.80537;9.52721
Landau in der Pfalz;Landau;RP;41612;49.19844;8.11692
Heinsberg;Heinsburg;NW;41505;51.06358;6.0998
Lichtenberg;Berlin-Lichtenberg;BE;41359;52.51395;13.49975
Berlin-Westend;Westend;BE;41328;52.51708;13.27636
Seevetal;Seevedaal;NI;41266;53.4;9.96667
Wunstorf;;NI;41211;52.42377;9.43585
Leinfelden-Echterdingen;;BW;41185;48.69406;9.16809
Königswinter;Koenigsvinter;NW;41164;50.67734;7.19245
Bensheim;Bensgajm|Benshaimas|Benskhajm|bensuhaimu;HE;41124;49.68369;8.61839
Völklingen;;SL;40952;49.25162;6.85873
Germering;Germeringas;BY;40916;48.13392;11.3765
Hamburg-Niendorf;Niendorf;HH;40906;53.61769;9.95032
Borken;;NW;40876;51.84382;6.85774
Buchholz in der Nordheide;Buchholz;NI;40849;53.33038;9.86596
Oranienburg;Oraninburg|oranienburuku;BB;40793;52.748;13.25194
Eisenach;Wartburgstadt;TH;40747;50.9807;10.31522
Pinneberg;Pinnbarg;SH;40577;53.65887;9.79698
Südstadt;;NI;40557;52.35967;9.7508
Berlin-Wilhelmstadt;Wilhelmstadt;BE;40463;52.52379;13.18916
Pirna;;SN;40322;50.95843;13.93702
Aurich;Auriacum|Aurichas|Aurikh;NI;40319;53.46963;7.48239
Barmbek-Nord;;HH;40261;53.6052;10.03988
Nürtingen;Nurtingen;BW;40210;48.62565;9.34203
Kirchheim unter Teck;Kirchheim;BW;40206;48.64683;9.45378
Berlin-Buckow;Buckow;BE;40146;52.42162;13.43613
Berlin-Märkisches Viertel;Märkisches Viertel;BE;40119;52.59841;13.35766
Hückelhoven;;NW;39828;51.0555;6.22658
Dachau;Dachanum;BY;39740;48.26;11.43402
Halberstadt;Halberstadium|Halberstatas|halbrashtat;ST;39729;51.89562;11.05622
Spandau;Spandava;BE;39653;52.5511;13.19921
Kehl;Kehl am Rhein|Kehl im Hanauerland|Stadt Kehl;BW;39584;48.57297;7.81523
Neumarkt in der Oberpfalz;Neumarkt|Neumarkt i.d.OPf.|Stadt Neumarkt in der Oberpfalz;BY;39557;49.28028;11.46278
Mettmann;Mettman;NW;39550;51.2504;6.97536
Löhne;;NW;39521;52.18848;8.6922
Kamp-Lintfort;Lapangan Terbang Kamp-Lintfort;NW;39490;51.50467;6.54587
Freital;Freitale|Freithal;SN;39281;51.00166;13.6488
Siegburg;Siegburgum;NW;39135;50.80019;7.20769
Maintal;maintaru;HE;38987;50.15;8.83333
Ilmenau;Stadt Ilmenau;TH;38834;50.68322;10.91858
Backnang;;BW;38818;48.94743;9.43718
Langen;langhn|langn;HE;38785;49.98955;8.66852
Biebrich;;HE;38758;50.0415;8.24878
Warendorf;Warendorp;NW;38707;51.95109;7.98756
Sankt Ingbert;;SL;38697;49.27697;7.11672
Berlin-Falkenhagener Feld;Falkenhagener Feld;BE;38667;52.55191;13.16802
Ettlingen;;BW;38578;48.94094;8.40763
Altenburg;Altemburgo|Altenbourg|Altenburgas|Altenburgo|Altenburgum in Misnia;TH;38568;50.98763;12.43684
Schwabach;;BY;38554;49.33047;11.02346
Leuben;;SN;38353;51.01122;13.82029
Saarlouis;Saarlui|Saarluis|Saarluise;SL;38333;49.31366;6.75154
Linden;;NI;38284;52.36449;9.71157
Buxtehude;;NI;38192;53.46994;9.68968
Ahaus;;NW;38165;52.07936;7.01344
Haltern in Westfalen;Haltern|Haltern am See;NW;38142;51.74297;7.18163
Mühlhausen/Thüringen;Mühlhausen;TH;38108;51.20896;10.45275
Hamm;;HH;37989;53.55487;10.05742
Neustadt/Süd;;NW;37939;50.92509;6.94762
Weißenfels;;ST;37929;51.20148;11.96843
Hamburg-Horn;Horn;HH;37903;53.55406;10.08989
Beckum;;NW;37814;51.75571;8.04075
Hofheim am Taunus;Hofheim|Hofheim in Taunus;HE;37750;50.09019;8.4493
Stendal;Hansestadt Stendal|Stendal'|Stendalia|Stendalis;ST;37722;52.60578;11.86091
Berlin-Gropiusstadt;Gropiusstadt;BE;37686;52.42686;13.46053
Hemer;Khemer|hemeo;NW;37502;51.38707;7.77019
Falkensee;Falkenze|falknzy|falknzyh|falkynsy;BB;37468;52.56014;13.0927
Würselen;;NW;37074;50.81809;6.1347
Sinsheim;Sinse;BW;37036;49.2529;8.87867
